CODE_COM;APL_EHPA;APL_RA;APL_SAPA
16012;91105.23;450.23;839.78
16015;186114.09;321.99;1318.94
16031;91905.52;860.99;2364.45
16032;116617.37;712.41;1206.73
16051;84042.46;0.0;1977.52
16056;121637.95;450.23;829.3
16058;84298.06;450.23;703.28
16060;53327.45;450.23;747.75
16061;118857.12;321.99;2321.82
16065;97093.36;1385.03;2037.59
16085;105133.68;498.74;2406.71
16100;61481.25;329.86;1199.7
16112;73435.06;0.0;875.94
16151;81381.86;450.23;762.23
16153;109094.54;450.23;668.75
16156;109600.39;0.0;1977.52
16184;112837.56;262.17;3222.43
16189;90685.77;902.32;1544.74
16190;74162.73;265.56;1035.63
16194;66074.35;265.56;1157.4
16195;109521.22;498.74;2933.17
16201;108379.34;321.99;1786.77
16257;85216.52;262.17;1479.01
16262;103029.48;450.23;479.17
16263;98490.91;321.99;1688.86
16267;72015.55;0.0;1278.25
16275;65572.26;265.56;786.09
16293;72906.77;498.74;2083.59
16302;102513.17;0.0;1152.9
16309;95146.84;498.74;1548.13
16323;87297.11;321.99;1685.33
16336;74337.32;498.74;1733.9
16352;91144.16;712.41;1096.56
16364;50537.98;168.88;1239.09
16365;77807.19;0.0;1382.86
16368;94161.34;321.99;915.86
16375;94123.6;498.74;2005.9
16380;91162.37;69.88;1527.99
16392;96477.96;329.86;2744.29
16395;99930.89;450.23;522.06
16413;103689.17;1126.55;2337.51
16418;139788.04;321.99;989.31
17019;45449.93;0.0;38.66
17029;68189.79;582.52;962.8
17031;53952.33;277.79;566.88
17047;97412.57;571.24;878.86
17065;91190.77;235.33;453.09
17081;71672.02;473.41;1378.81
17093;95717.17;508.0;516.96
17127;121569.06;696.1;220.65
17128;85889.8;571.24;762.32
17134;97250.42;832.68;705.94
17163;68782.24;69.88;728.7
17169;71545.62;751.82;1018.36
17180;71211.35;686.21;1199.21
17190;112289.78;629.17;950.13
17203;79448.84;0.0;524.11
17229;67637.17;69.88;626.47
17231;60759.07;69.88;626.47
17250;86085.37;121.01;978.25
17253;106493.09;235.33;707.03
17258;72772.39;52.45;403.41
17310;118417.55;718.09;684.86
17314;68820.17;518.8;817.01
17326;96189.65;502.68;1176.01
17351;94294.87;537.02;799.2
17366;54729.85;219.74;452.05
17391;123290.9;629.17;1111.9
17402;75052.0;52.45;713.54
17417;84274.07;473.41;1245.37
17421;133405.87;746.5;766.94
17428;66011.94;860.32;722.98
17430;89544.19;525.86;655.07
17459;113121.05;651.09;1446.27
17464;100237.21;635.39;1147.02
18005;68845.09;619.94;2061.12
18055;98392.98;619.94;2070.17
18060;54455.87;137.06;459.64
18072;60083.08;0.0;535.41
18084;57048.81;919.62;581.5
18087;94606.85;336.37;656.76
18094;68551.24;147.88;130.71
18110;100718.19;353.44;130.71
18111;49529.66;268.3;170.9
18117;53712.59;919.62;332.05
18119;65700.02;356.75;1991.22
18138;84468.41;619.94;2097.63
18175;71185.34;0.0;492.83
18176;67303.83;820.65;2156.39
18238;77553.21;797.13;418.08
18242;114726.12;137.06;914.98
18245;77333.33;797.13;418.08
18252;67607.27;597.82;142.37
18259;86405.49;1305.12;795.86
18271;95479.42;1005.2;2101.32
18289;68785.4;356.75;2450.86
19015;64474.81;676.59;2130.87
19044;108752.84;868.82;1218.35
19061;134926.15;826.21;3840.07
19072;133349.51;676.59;1710.24
19080;114958.93;295.48;170.67
19088;74768.63;0.0;1217.04
19261;138145.56;295.48;732.81
21039;25933.73;0.0;392.19
21045;55095.94;450.29;429.08
21046;72283.45;1267.82;1104.65
21080;54567.71;450.29;429.08
21086;102138.87;608.45;1214.44
21097;93981.9;450.29;715.38
21099;88211.13;198.91;46.66
21106;115332.04;22.83;1770.91
21107;97875.16;22.83;1775.34
21112;70516.13;0.0;505.78
21122;136719.62;369.46;548.21
21154;161469.56;0.0;676.41
21155;57979.28;450.29;787.05
21179;88546.54;22.83;2167.53
21180;61675.01;218.24;160.64
21187;80280.67;450.29;892.77
21199;157252.75;0.0;0.0
21201;132407.91;369.46;538.91
21204;128848.86;369.46;1087.11
21207;25860.32;0.0;1658.57
21208;39668.66;0.0;1878.65
21219;60070.12;198.91;379.02
21227;98355.4;22.83;1649.25
21234;67159.8;450.29;429.08
21237;23353.91;369.46;1486.46
21243;69223.1;649.2;323.36
